171566	00230 00240
171570	00240 00983
171576	04110
191569	00230
191575	00230 00240
191576	01040
192154	05016
192172	00272
192183	04514 04520
192241	00190 05010 05012 05016
192242	00120 00140 00150
192255	05012
192260	00564 04070
192262	04610 05322
192263	00563
192268	00251 00471 00910
192270	00561 00564 00565 00600
192272	01040
192275	00510
192280	04910
192362	04510 04512 05200 05222
192646	04080
24152	04916
24153	04610
24157	00071 00120 00280 01040 03320
24158	00071 00280 00410 00640 03320
24159	00020 00720
24161	00361 00740 04520
24162	00361 00740
24165	00230 05340
24167	04080
24172	00010 00071 00120 00350 00624 00641 00830 00980 00982
24173	04020 04080
24174	04080
24175	04080
24176	04020 04080
24179	04614
24180	04020 04080 04614
24182	04080 04614
24183	00230
24184	00230
24185	04010 04012 04150 04210 04370 04510 04530 04620 04630 04660 04662 04664 04910 04920 05200 05210 05211 05212 05213 05214 05215 05218 05220 05221 05222 05223
24188	00830
24189	00010 00030 00051
24190	00010 00030 00051
24191	00010 00030 00051
24192	00040 00051 00052 00561 00620
24197	00361 00790
24203	00500
24205	04310 04810 05200 05210 05213 05217
24207	03320
24208	05200 05215
24215	04020
24217	00190
24223	04612
24224	04210 04510 05014 05200 05210 05215 05222
24225	04010 05016
24230	04080
24231	04610 05322
24232	04610 05322
24233	04610 05322
24235	04610
24236	04610
24237	04610 05322
24239	04010 04020 04720 04912 04930 05010
24240	00240 00251 00252
24242	04020 04070 04720 04740 04910 04912 04916 05010 05214
24244	04020 04070 04720 04740 04910 04912 04916 05010 05214
24245	04012 04020 04310 04720 04740 04912 04916 05214
24246	04012 04020 04310 04720 04740 04912 04916 05214
24248	00380 00680 05014
24250	00260 00271 00450
24252	05200 05221
24254	00120 00561
24255	02010
24260	04020 04080 04810
24264	00330
24265	00330
24267	00350
24268	00860
24294	00140 00150
24296	00380 00830 00980
24297	00232 00380 00591 00830 00980 00982
24298	00140
24299	00232 00830 00982 00983
24300	00590 00830 00980 00982
24303	00982
24310	04614
24311	00340 00350 00360 00380 00950
24312	00670 00790
24314	00100
24316	04020 04080 04540
24318	04080 04540
24323	04916
24326	04020 04080
24329	04010 04012 04020 04060 04510 04520 04540 04810 04912 05200 05210 05212 05213 05214 05215 05218 05219 05223
24333	00010
24334	00010
24335	04060 04630 04640
24336	04060 04630 04640
24337	04012 04020 04510 04520 05200 05212 05213 05215 05219 05223
24338	04360
24356	05211
24360	03320
24362	00010 00030 00051 04910
24366	04610
24367	04610
24368	00020 00720 05200 05211
24373	04350
24375	00511
24377	00030 00480
24379	00251 00252 00410 00430 00650 04940
24380	00251 00252 00410 00430 00650 04940
24383	00010 05010
24385	00010 00051 00052 00500 00530
24390	00052 00510 00533 00601
